Firm Name,Type (Intl / Local),Office Location(s) in APAC,Practice Areas,Known Client Base,Notable Cases / Disputes,Notes
AsiaLegal LLC,Singapore Local,"1 Coleman Street, #07-02A, The Adelphi, Singapore 179803 (Gemini)","Corporate & M&A, Banking & Finance, Dispute Resolution & Litigation, International Arbitration, Restructuring & Insolvency, Fraud, Investigations & White Collar, Real Estate & Construction, Employment & Labor, Shipping & Maritime, Private Wealth & Estate Planning, Family Law, Insurance, Entertainment & Media","Louis Dreyfus Asia Pte Ltd, Sunlight Mercantile Pte Ltd, Bhavani Stores Pte Ltd, Amrose Singapore Pte Ltd, Trans-Tec / World Fuels Group, A.P. Moller-Maersk / Maersk Line, Saigon Shipping Company, Ever Lucky Shipping Company Limited, Admiral Chartering Ltd, Transfield Shipping Inc. Panama, Pacific Integrated Logistics Pte Ltd, Prestige Marine Services Pte Ltd, Wijsmuller Offshore Terminal Towage (Far East) Pte Ltd (gemini)","The ""Kaminesan"" (Three-Ship Collision), The ""Asia Star"" [2006] SGHC 115, The ""Ching Ho"" & ""Noble Spirit"" Container Losses, Pacific Integrated Logistics Pte Ltd v German Vernel International Freight Ltd [2007] 1 SLR 1017, The O.W. Bunker Collapse Litigation: Precious Shipping Public Company Ltd v OW Bunker Far East [2015] SGHC 187, Ever Lucky Shipping Company Limited v Sunlight Mercantile Pte Ltd [2003] SGHC 80 (gemini)",website not working.
"Christopher Lau, SC",Singapore Local,"32 Maxwell Road, #02-04 Maxwell Chambers, Singapore 069115 (Https://Arbitrationlaw.Com/Profile/Christopher-Lau-0)","International Arbitration, Shipping & Maritime, International Trade & Commodities, Energy & Infrastructure, Entertainment & Media",Unknown,Unknown,
Dunbar & Lim Chambers LLC,Singapore Local,"160 Robinson Road, #18-03 Sbf Center, Singapore 068914  (Https://Dunbarlim.Com/Contact/)",International Arbitration,"Two Affiliates of a Major Chinese Clean Energy Conglomerate & LNG Trader, A United States Oil Major, A Production Sharing Contractor & LNG Consortia, An Independent Upstream Oil Company, A State-Owned Oil, Gas, and Shipping Carrier Enterprise, An International Joint Venture Refinery Project, A Global Renewable Energy & Marine Logistics Multinational, A European Multinational Corporation (gemini)","The US$168 Million LNG Non-Delivery Arbitration (ICC Singapore), The Concurrent Gas Production Arbitrations (SIAC Singapore), The US$3 Billion Upstream State Dispute (ICC), The European Multinational v. Asian Commodities Firm Dispute (ICC) (gemini)",https://dunbarlim.com/
Haridass Ho & Partners,Singapore Local,"4 Shenton Way, #10-03/06 Sgx Centre 2, Singapore 068807 (Https://Hhp.Com.Sg/Sample-Page/)","Corporate & M&A, Banking & Finance, Dispute Resolution & Litigation, International Arbitration, Restructuring & Insolvency, Real Estate & Construction, Shipping & Maritime, International Trade & Commodities, Private Wealth & Estate Planning, Entertainment & Media","Faith Maritime Co Ltd, Marina Offshore Pte Ltd, Keppel Shipyard & Regional Rig Builders, Bandung Shipping Pte Ltd, Afro Asia Shipping Co (Pte) Ltd, Archer Daniels Midland Company (ADM), Xendral Trading Pte Ltd, Abani Trading Pte Ltd, International Oil, Gas & Vegetable Oil Traders (gemini)","The “August 8” [1980–1981] SLR 144 / [1982–1983] SLR 32 (Privy Council), The “Hung Vuong 2” [2001] 3 SLR 146, Faith Maritime Co Ltd v Feoso (Singapore) Pte Ltd & Another [2002] 4 SLR 716, The “Neptra Premier” [2002] 2 SLR 124, The “Patraikos 2” [2002] 4 SLR 232, Marina Offshore Pte Ltd v China Insurance Co (Singapore) Pte Ltd [2006] 1 SLR 800 (Court of Appeal) (gemini)",https://hhp.com.sg/
Gill Arbitration Services,Singapore Local,"81A Clemenceau Avenue, #05-18, Ue Square, Singapore 239918 (Https://Www.Judithgill.Com/#Answers-Section)","Corporate & M&A, International Arbitration","Glencore International A.G., Lynton Trading Ltd., State-Owned Energy/Trading Entities, Eni, Vitol, Strabag SE, Masdar (Masdar Solar & Wind Cooperatief U.A.), Eiser Infrastructure Limited, RREEF Infrastructure (RREEF Infrastructure G.P. Limited), Antin Infrastructure Services, Veolia Propreté SAS, Alpene Ltd. (gemini)","Glencore International A.G. v. Republic of Colombia, dispute over the bulk purchase of physical hydrocarbon products by a Chinese entity, dispute between two major Saudi Arabian companies involving cross-border logistics, as price review dispute involving physical gas supply and off-take agreements across Asia (perplexity)","She has experience in various commercial arbitration areas, including joint ventures, corporate sales, construction, energy contracts, and investment treaty disputes. https://www.judithgill.com/#answers-section"
PK Wong & Nair LLC,Singapore Local,"6 Battery Road, #09-03, Singapore 049909 (Https://Pkw.Com.Sg/)","Corporate & M&A, Banking & Finance, Dispute Resolution & Litigation, International Arbitration, Restructuring & Insolvency, Real Estate & Construction, Employment & Labor, Intellectual Property, Private Wealth & Estate Planning, Technology, Data & Cybersecurity","Antanium Resources, Maybank Singapore, Noble Group Ltd, CV Shipping/PDV Marina SA, Petrochina International (Singapore) Pte Ltd, PDVSA (Petroleos de Venezuela), CIMB Bank Berhad, World Fuel Services (Singapore) Pte Ltd, Equiptest Engineering Pte Ltd (EQT), Cohu Inc, Team Metal (S) Pte Ltd (perplexity)","PDV Marina Wind-Up (CV Shipping Liquidation), Goldilocks Investment Co Ltd v Noble Group Ltd 5 SLR 425 (perplexity)",https://pkw.com.sg/
Providence Law Asia LLC,Singapore Local,"One Raffles Place, Tower 2, #29-62, Singapore 048616 (Https://Www.Providencelawasia.Com/)","Corporate & M&A, Dispute Resolution & Litigation, International Arbitration, Restructuring & Insolvency, Fraud, Investigations & White Collar, Regulatory & Compliance, Real Estate & Construction, Energy & Infrastructure, Private Wealth & Estate Planning, Technology, Data & Cybersecurity","Telekom Malaysia, PricewaterhouseCoopers, GTP Advisory, Liberty House Group, GP Global Group, Zenrock Commodities Trading, Peking University Founder Group, Submarine Cable Logistics, PDV Marina (Venezuela), Agritrade Resources Limited, Thaicom,  Ventureast (gemini, https://www.providencelawasia.com)","Re Hin Leong Trading (Pte) Ltd [2025] / [2026], Re GP Global APAC Pte Ltd [2024] / [2025], HSBC v Zenrock Commodities Trading Pte Ltd Alphard Maritime Ltd v Samson Maritime Ltd and Underwater Services Company Limited [2025] SGHC 154 (gemini)",https://www.providencelawasia.com/
LVM Law Chambers LLC,Singapore Local,"160 Robinson Road, #13-02 Sbf Center, Singapore 068914 (Https://Www.Lvmlawchambers.Com/Contact/)",Dispute Resolution & Litigation,"MS First Capital Insurance, Brazen Sky, United Overseas Bank, Golden Base Energy Pte Ltd, Unipec Singapore Pte Ltd, Hin Leong Trading (Pte.) Ltd, Ocean Tankers (Pte.) Ltd (Affiliated Matters), GrabTaxi Holdings Pte Ltd, Ochroid Trading Ltd, Laud Architects Pte Ltd, CKR Contract Services Pte Ltd, Lendlease Singapore Pte Ltd (gemini)","The “Maersk Katalin” [2024] SGHC 282, CYE v CYF [2023] SGHC 275 (lvmlawchambers.com)",https://www.lvmlawchambers.com/
Incisive Law LLC,Singapore Local,"120 Robinson Road #08-01, Singapore 068913 (Incisivelaw.Com)","Corporate & M&A, Banking & Finance, Dispute Resolution & Litigation, International Arbitration, Fraud, Investigations & White Collar, Shipping & Maritime, International Trade & Commodities, Insurance","Teras Lyza Pte Ltd / Teras Offshore Pte Ltd (Ezion Holdings group), MISC Berhad (Malaysia International Shipping Corporation), ArgoGlobal Underwriting Asia Pacific Pte Ltd, Scandinavian Bunkering AS, China National Petroleum Corporation (CNPC) / PetroChina Subsidiaries, Oversea-Chinese Banking Corporation (OCBC), SBM Offshore Group (gemini)","Argoglobal Underwriting Asia Pacific Pte Ltd and others v Oversea-Chinese Banking Corporation Limited SGCA 14, The “Sea Justice” SGCA 32, The “Tina I” 3 SLR 121 (perplexity)",https://incisivelaw.com/
Damodara Ong LLC,Singapore Local,"30 Cecil St, #11-01 Prudential Tower, Singapore 049712 (Https://Www.Damodaraong.Com/#!/Contact)","Corporate & M&A, Dispute Resolution & Litigation, Fraud, Investigations & White Collar, Private Wealth & Estate Planning, Family Law",Ocean Tankers (Pte.) Ltd (perplexity),Unknown,https://www.damodaraong.com/
Focus Law Asia LLC,Singapore Local,"16 Raffles Quay #21-01, Hong Leong Building, Singapore 048581 (Https://Www.Focuslawasia.Com/Contact-Us)","Corporate & M&A, Dispute Resolution & Litigation, International Arbitration, Restructuring & Insolvency, Real Estate & Construction, Employment & Labor, Shipping & Maritime, International Trade & Commodities, Private Wealth & Estate Planning, Technology, Data & Cybersecurity","Maersk Tankers Singapore, Hin Leong Trading (Pte.) Ltd (perplexity)","Advising  the liquidators of Hin Leong Trading (Pte) Ltd  [2022] SGHC 242, [2021] SGHC 286, [2024] SGHC 63,  [2025] SGCA 33 (https://www.focuslawasia.com/our-people/shem-khoo)",https://www.focuslawasia.com/
Resource Law LLC,Singapore Local,"10 Collyer Quay, #18-01, Ocean Financial Centre, Singapore 049315","Corporate & M&A, Banking & Finance, Dispute Resolution & Litigation, Restructuring & Insolvency, Competition & Antitrust, Real Estate & Construction, Employment & Labor, Intellectual Property, Shipping & Maritime, International Trade & Commodities, Energy & Infrastructure, Private Wealth & Estate Planning, Technology, Data & Cybersecurity, Insurance, Healthcare & Life Sciences",Unknown,Unknown,https://www.resourcelawasia.com/
