Firm Name,Type (Intl / Local),Office Location(s) in APAC,(SG) Partners Specialized in Commodities / Trade / Shipping,Practice Areas (Disputes / Sanctions / Finance / M&A),Known Client Base (Chambers / Legal 500 / SIAC) ,Notable Cases / Disputes,BD Contact Name,BD Contact Email,BD Contact Phone,Relationship Status,Priority (H/M/L),Notes / Next Steps,Done by,,,,
Braddell Brothers LLP,Singapore Local,"11 Beach Road #04-01 Singapore , Singapore, Singapore Island, Singapore, 189675, Singapore (chambers)",Managing Partner: Edmund J Kronenburg (chambers),"Banking & Financial Services, Commercial & Contract, Confidentiality, Corporate Restructuring & Insolvency, Corporate Shareholder & Partnerships, Defamation & Reputation Management, Employment & Labour, Energy & Natural Resources, Fraud Conspiracy & Unjust Enrichment, Medical Negligence & Misconduct, Property & Tenancy, and Wealth Inheritance & Probate (chambers)","PT First Media Tbk (Lippo Group), BAFCO Singapore Pte. Ltd., The Singapore Medical Council, Ngng Pte Ltd, PJSC Power Machines, BASF Intertrade AG (gemini)","BASF Intertrade AG Singapore Branch v H&C S Holding Pte Ltd, PetroVietnam v PJSC Power Machines, Teunis Eigenraam v Ngng Pte Ltd, Vessel Charterer Winding-Up Defense (gemini)",n/a,"sg office: enquiry@braddellbrothers.com (chambers), admin@braddellbrothers.com (https://braddellbrothers.com/)",sg office: +65 6499 9490 (chambers),,,https://braddellbrothers.com/,Mona,,,,
Joseph Tan Jude Benny LLP,Singapore Local,"168 Robinson Road, #18-02 Capital Tower, Singapore 068912 (jtjb.com)","Deputy Managing Partner: John Sze (SN), Senior Partners: K. MURALI PANY, TING CHI YEN, partners: RAFIZAH GAFFOOR, JOLENE TAN (jtjb.com)","Shipping, International Trade & Logistics, Dispute Resolution, Conveyancing & Real Estate, Corporate & Commercial, Construction & Infrastructure, Regulatory & Compliance, and Corporate Secretarial Services (jtjb.com)","Petrobras, Myanmar Five Star Line Company Limited (MFSL), Paragon Shipping, Consortium of shipowners, Hin Leong Trading (Pte) Ltd, Xihe Holdings Pte Ltd, Uni Petroleum Pte Ltd, Myanmar National Airlines Company Limited (MNA), Kylen Resources, FTI Consulting (Singapore) Pte. Ltd. (perplexity)","The “Miracle Hope” [2020] SGHCR 3; BNP Paribas v Bandung Shipping Pte Ltd (Shweta International Pte Ltd and another, third parties) [2003] 3 SLR(R) 611; [2003] SGHC 111; Freight Connect (S) Pte Ltd v Paragon Shipping Pte Ltd [2015] SGCA 37; Zim Integrated Shipping Services Ltd and others v Dafni Igal and others [2010] SGCA 45; The “Rainbow Star” [2011] 3 SLR 1; [2011] SGHC 35 (jtjb.com), Paragon Shipping v Freight Connect (perplexity)",n/a,sg office: info@jtjb.com (jtjb.com),sg office: +65 6220 9388 (jtjb.com),,,https://jtjb.com/,Mona,,,,
Dentons Rodyk & Davidson LLP,Singapore Local,"80 Raffles Place, #33-00 UOB Plaza 1, 048624, Singapore (dentons.rodyk.com)","Snr Partners: Lawrence Teh, Rodney Keong, Kirindeep Singh, Melissa Thng (dentons.rodyk.com)","Banking & Finance, Capital Markets, Competition & Antitrust, Construction, Corporate, Corporate Real Estate, Employment, Energy, Franchising & Distribution, Infrastructure & PPP, Insurance, International Arbitration, Intellectual Property & Technology, Islamic Finance, Life Sciences, Litigation & Dispute Resolution, Mergers & Acquisitions, Privacy & Cybersecurity, Private Equity, Restructuring, Insolvency & Bankruptcy, Tax, Trade, WTO & Customs, Transportation, Trusts, Estates & Wealth Preservation, Venture Technology & Emerging Growth Companies, White Collar & Government Investigations (chambers)","Bulk Trident Shipping Ltd, WEM-3 Pte Ltd, WEM-4 Pte Ltd, WEM-5 Pte Ltd, WEM-6 Pte Ltd, INEOS Styrolution Korea Ltd, UniCredit Bank AG SG branch, Bank of China Limited, Shenzhen Branch, Oversea-Chinese Banking Corporation (OCBC), Boustead Projects Limited, Thomson Medical Group (TMG), Templewater Hong Kong Limited, ZeroNorth A/S (perplexity)","Government of Sri Lanka v Shipowners of Vessel X-Press Pearl and associated persons, Fastfreight Pte Ltd v Bulk Trident Shipping Ltd, Case involving vessel GULF DEFFI, UniCredit Bank AG v Hin Leong Trading (Pte) Ltd (perplexity)",snr manager BD: Denise Yip (SN),snr manager BD: denise.yip@dentons.com,"sg office: +65 6225 2626 (dentons.rodyk.com), snr manager BD: +65 6885 2789 (mobile)",,,"Dentons Rodyk is part of Dentons ASEAN, the first global pan-ASEAN law firm. https://dentons.rodyk.com/en/office-details/singapore",Mona,,,,
Oon & Bazul LLC,Singapore Local,"36 Robinson Road, #08-01/06 City House, Singapore 068877 (https://oonbazul.com/contact/)",Managing Partner: Bazul Ashhab (https://oonbazul.com/our-lawyers/),"Litigation & Dispute Resolution, International Arbitration, Fraud & Asset Recovery, Restructuring & Insolvency, International Trade, Shipping, Insurance & Reinsurance, Oil & Gas, Sanctions & Regulatory Compliance, Investigations, India Practice (legal500)","the International Oil Pollution Compensation Funds, Taconic Capital Advisors, Winson Oil Trading Pte Ltd , OCBC Bank, ECOBULK SHIPPING INC.), Energe Asia Pte Ltd, Aastar Trading Pte Ltd, Black Swan Petroleum DMCC (perplexity, legal500)","The Miracle Hope, Standard Chartered Bank (Singapore) Ltd v Maersk Tankers Singapore Pte Ltd (Winson Oil Trading Pte Ltd, intervener) [2022] SGHC 242, The “STI Orchard” (Winson Oil Trading Pte Ltd, intervener) [2022] SGHCR 6, he “Yue You 902” [2019] SGHC 106, The “Luna” and another appeal [2021] SGCA 84  (oonbazul.com)",n/a,sg office: general@oonbazul.com (https://oonbazul.com/contact/),sg office: (65) 6223 3893 (https://oonbazul.com/contact/),,,https://oonbazul.com/,Mona,,,,
PDLegal LLC,Singapore Local,"1 Coleman Street , #08-02 The Adelphi , Singapore 179803 (www.pdlegal.com.sg)","Group managing partner: Peter Doraisamy, Group Deputy Managing Partner: Gerard Quek (https://www.pdlegal.com.sg/people/)","corporate & commercial, disputes, FinTech, restructuring & insolvency, maritime & shipping, and real estate (chambers)","Evergreen Marine Corporation, Mercuria Energy Group (legal500), Louis Dreyfus Company Asia, Rotating Offshore Solutions, Skuld P&I Club, Pacific Distribution Investment Company (perplexity)","The Owner and/or Demise Charterer of the Vessel “Marine Honour” v. The Owner and/or Demise Charterer of the Vessel “Vox Maxima” and Others (gemini), Acting for owners of SOV Southern Star (a DP3 vessel), Representing Japanese ship owner Masao Mizobuchi (perplexity)",,sg office: enquiry@pdlegal.com.sg (pdlegal.com.sg),sg office: +65 6220 0325 (pdlegal.com.sg),,,https://www.pdlegal.com.sg/,Mona,,,,
Shook Lin & Bok LLP,Singapore Local,"1 Robinson Road, #18-00 AIA Tower, Singapore 048542 (https://www.shooklin.com/en/)","Managing Partner: Liew Kai Zee (chambers); Co Managing Partner: David Chong (linkedin); Partners: Moses Lin, Sarjit Singh Gill, Soong Jun De (shooklin.com)","Asset & Wealth Management, Banking & Finance, Capital Markets, Construction & Projects, Corporate Commercial, Corporate Governance, Corporate Real Estate, Employment, Energy & Natural Resources, Environmental, Social and Governance, Financial Services Regulatory, Intellectual Property & Technology, International Arbitration, Litigation & Dispute Resolution, Mergers & Acquisitions, Private Equity & Venture Capital, Private Wealth, Restructuring & Insolvency, Shipping & Commodities, Technology, Media & Telecommunications (gemini)","The Hongkong and Shanghai Banking Corporation (HSBC), POS Maritime VX SA, Standard Chartered Bank (Singapore) Limited (SCB) (perplexity)","Duncan, Cameron Lindsay and another v Diablo Fortune Inc and another matter SGHC 172, Winson Oil Trading Pte Ltd v Oversea-Chinese Banking Corporation and Standard Chartered Bank (Singapore) Limited SGHC 220, Claim of more than USD80 million against OK Lim and his children, founder/ex-directors, and former senior employee of Hin Leong Trading (perplexity)",Marketing and Business Development: Nancy H. (SN),"sg office: slb@shooklin.com (chambers), Marketing and Business Development: nancy.h@shooklin.com",sg office: +65 6535 1944 (https://www.shooklin.com/en/),,,shooklin.com,Mona,,,,
TSMP Law Corporation,Singapore Local,"6 Battery Road, Level 5, Singapore 049909 (https://www.tsmplaw.com/contact-us/)","Joint managing partners: Thio Shen Yi, Stefanie Yuen Thi (chambers)","M&A, dispute resolution, international arbitration, real estate, construction and employment  (chambers)","Century Holding Company Limited, Nan Chiau Maritime, Halcyon Agri Corporation Limited, DHL, Seraya Energy, KPMG, Mizuho Bank, Perrenial Real Estate Holdings, Ho Lee construction, WestBridge Ventures II Investment Holdings, Luckin Coffee, Smart Glove, Hyundai Engineering & Construction, Asiana Airlines (perplexity)","Acting for Asiana Airlines in dispute with catering agent over arbitration agreements, Engaged by judicial managers in the liquidation of Nan Chiau Maritime, Advising on offshore shipping sector infrastructure financing deal (US$300 million), Representing client in dispute over nickel mine in Indonesia (Century Holding Company Limited) (perplexity)",n/a,sg office: tsmp@tsmplaw.com (https://www.tsmplaw.com/contact-us/),sg office: +65 6534 4877 (https://www.tsmplaw.com/contact-us/),,,https://www.tsmplaw.com/,Mona,,,,
Virtus Law LLP,Singapore Local,"8 Marina Boulevard, #29-01, Marina Bay Financial Centre Tower 1, Singapore 018981 (https://www.virtus-law.com/)",Managing Partner: Lauren Tang (www.virtus-law.com),"Asset finance, banking & finance, capital markets, corporate, criminal & regulatory offenses, data protection, dispute resolution, employment, financial services regulation, martime & intl trade, M&A, private wealth, restructuring & insolvency, technology, white collar crime & investigations (https://www.virtus-law.com/services/)","Standard Chartered Bank, the Hongkong and Shanghai Banking Corporation, HJ Shipbuilding & Construction Co., Ltd., Oldendorff Carriers GmbH & Co. KG, ING Bank, StraitNZ, X-Press Feeders, Hafnia Limited, Brightoil Petroleum (Singapore) Pte Ltd, BW LPG Limited, DeepOcean APAC AS (legal500, perplexity, gemini)","The ""Brightoil Glory"", In the matter of Coastal Oil Singapore Pte Ltd (In Liquidation), In re Varada Marine Pte Ltd ---, In the matter of Hin Leong Trading (Pte) Ltd and Winson Oil Trading v. Hin Leong Trading & Ors (gemini)",n/a,sg office: contact.virtus@stephensonharwood.com (virtus-law.com),sg office: +65 6737 1234 (virtus-law.com),,,Virtus Law LLP is a member of the Stephenson Harwood (Singapore) Alliance. Focus is on five sectors:,Mona,,,,
DennisMathiew,Singapore Local,"7500A Beach Road, #14-324, The Plaza, Singapore 199591 (https://www.dennismathiew.com/contact/)","Partners: Captain Mathiew Christophe Rajoo, Tan Hui Tsing, Probin Dass (https://www.dennismathiew.com/our-maritime-and-shipping-lawyers/)","Shipping & Admiralty, Trade & Commodities, Corporate & Commercial, Dispute Resolution: Litigation, Arbitration & Mediation (https://www.dennismathiew.com/)","Atlantic Navigation Holdings (Singapore) Ltd, Fairmacs Shipping & Transport Services Pte Ltd, Marco Polo Shipping Company Pte Ltd, Royal Global Exports Pte Ltd, ASL Marine Group, A.P. Moller-Maersk, Asian Infrastructure Ltd, U-Hin Manufacturing Pte Ltd, International Coatings Pte Ltd, Heroic Warrior Inc (dennismathiew.com, gemini)","Atlantic Navigation Holdings (Singapore) Ltd v Chang Yee Meng Malcolm and another [2021] SGHC 159, Marco Polo Shipping Co Pte Ltd v Fairmacs Shipping & Transport Services Pte Ltd [2015] 5 SLR 541, The “Emma Maersk” [2006] SGHC 180, Royal Global Exports Pte Ltd v Good Stream Co Ltd and anor [2004] 4 SLR(R) 247, The “ASL Power” [2003] 1 SLR(R) 545, The “Caraka Jaya Niaga III-11” [2021] SGHC 43 (dennismathiew.com)",n/a,,sg office: (+65) 6227 2373 (https://www.dennismathiew.com/contact/),,,"DennisMathiew has built a solid reputation in maritime and commercial law, services span across shipping, logistics, international trade, and oil & gas. https://www.dennismathiew.com/",Mona,,,,
AsiaLegal LLC,Singapore Local,"1 Coleman Street, #07-02A, The Adelphi, Singapore 179803 (gemini)","Director: Magdalene Chew, Snr Dirs: Timothy Tan & P. Jeya Putra (gemini)","Admiralty and Shipping Law, Arbitration, Banking, Finance And Securities Law, Bankruptcy and Insolvency Law, Civil and Commercial Litigation, Conveyancing and Property Law, Criminal Law, Employment Law, Family Law, Insurance Law, Mediation, Wills, Probate And Administration Of Estate, Workers’ Compensation Claims (https://accesstojustice.sg/directory/law-firm/asialegal-llc/)","Louis Dreyfus Asia Pte Ltd, Sunlight Mercantile Pte Ltd, Bhavani Stores Pte Ltd, Amrose Singapore Pte Ltd, Trans-Tec / World Fuels Group, A.P. Moller-Maersk / Maersk Line, Saigon Shipping Company, Ever Lucky Shipping Company Limited, Admiral Chartering Ltd, Transfield Shipping Inc. Panama, Pacific Integrated Logistics Pte Ltd, Prestige Marine Services Pte Ltd, Wijsmuller Offshore Terminal Towage (Far East) Pte Ltd (gemini)","The ""Kaminesan"" (Three-Ship Collision), The ""Asia Star"" [2006] SGHC 115, The ""Ching Ho"" & ""Noble Spirit"" Container Losses, Pacific Integrated Logistics Pte Ltd v German Vernel International Freight Ltd [2007] 1 SLR 1017, The O.W. Bunker Collapse Litigation: Precious Shipping Public Company Ltd v OW Bunker Far East [2015] SGHC 187, Ever Lucky Shipping Company Limited v Sunlight Mercantile Pte Ltd [2003] SGHC 80 (gemini)",n/a,sg office: mail@asialegal.com.sg (https://accesstojustice.sg/directory/law-firm/asialegal-llc/),sg office: +65 63331121 (https://accesstojustice.sg/directory/law-firm/asialegal-llc/),,,website not working. ,Mona,,,,
"Christopher Lau, SC",Singapore Local,"32 Maxwell Road, #02-04 Maxwell Chambers, Singapore 069115 (https://arbitrationlaw.com/profile/christopher-lau-0)",n/a,"charterparties, commodities coal, oil & gas, ship build & repair, maritime mediators (MMP) (https://www.scma.org.sg/arbitrator/132)",n/a,n/a,Independent arbitrator: Christopher Lau  (https://www.scma.org.sg/arbitrator/132),christopher lau: clau@3vb-arbitrators.com.sg (https://www.scma.org.sg/arbitrator/132),christopher lau: +65 6323 9863 (https://www.scma.org.sg/arbitrator/132),,,,Mona,,,,
Dunbar & Lim Chambers LLC,Singapore Local,"160 Robinson Road, #18-03 SBF Center, Singapore 068914  (https://dunbarlim.com/contact/)",Joint managing directors: Simon Dunbar & Kevin Lim (https://dunbarlim.com/people/),"Counsel Practice (Advocacy & Litigation), Arbitrator Practice (gemini)","Two Affiliates of a Major Chinese Clean Energy Conglomerate & LNG Trader, A United States Oil Major, A Production Sharing Contractor & LNG Consortia, An Independent Upstream Oil Company, A State-Owned Oil, Gas, and Shipping Carrier Enterprise, An International Joint Venture Refinery Project, A Global Renewable Energy & Marine Logistics Multinational, A European Multinational Corporation (gemini)","The US$168 Million LNG Non-Delivery Arbitration (ICC Singapore), The Concurrent Gas Production Arbitrations (SIAC Singapore), The US$3 Billion Upstream State Dispute (ICC), The European Multinational v. Asian Commodities Firm Dispute (ICC) (gemini)",Business contacts: Simon Dunbar & Kevin Lim (https://dunbarlim.com/contact/),"sg office: admin@dunbarlim.com, business contacts: simon.dunbar@dunbarlim.com & kevin.lim@dunbarlim.com ((https://dunbarlim.com/contact/)","sg office: +65 6028 4100, business contacts:  Simon Dunbar +65 6028 4101 & Kevin Lim +65 6028 4102 (https://dunbarlim.com/contact/)",,,https://dunbarlim.com/,Mona,,,,
Haridass Ho & Partners,Singapore Local,"4 Shenton Way, #10-03/06 SGX Centre 2, Singapore 068807 (https://hhp.com.sg/sample-page/)",Managing Partner: Thomas Tan (https://hhp.com.sg/our-people/partners/thomas-tan/),"arbitration & mediation, banking & finance, commercial & corporate litigation, corporate & corporate secretarial,  intl trade & commodities, shipping & admiralty law, real estate, conveynacing & estate planning, restructuring & insolvency (https://hhp.com.sg/our-expertise/)","Faith Maritime Co Ltd, Marina Offshore Pte Ltd, Keppel Shipyard & Regional Rig Builders, Bandung Shipping Pte Ltd, Afro Asia Shipping Co (Pte) Ltd, Archer Daniels Midland Company (ADM), Xendral Trading Pte Ltd, Abani Trading Pte Ltd, International Oil, Gas & Vegetable Oil Traders (gemini)","The “August 8” [1980–1981] SLR 144 / [1982–1983] SLR 32 (Privy Council), The “Hung Vuong 2” [2001] 3 SLR 146, Faith Maritime Co Ltd v Feoso (Singapore) Pte Ltd & Another [2002] 4 SLR 716, The “Neptra Premier” [2002] 2 SLR 124, The “Patraikos 2” [2002] 4 SLR 232, Marina Offshore Pte Ltd v China Insurance Co (Singapore) Pte Ltd [2006] 1 SLR 800 (Court of Appeal) (gemini)",n/a,sg office: mail@hhp.com.sg (https://hhp.com.sg/sample-page/),sg office: +65 6533 2323 (https://hhp.com.sg/sample-page/),,,https://hhp.com.sg/,Mona,,,,
Gill Arbitration Services,Singapore Local,"81A Clemenceau Avenue, #05-18, UE Square, Singapore 239918 (https://www.judithgill.com/#answers-section)",n/a,International Commercial Arbitration (https://www.judithgill.com/#answers-section),"Glencore International A.G., Lynton Trading Ltd., State-Owned Energy/Trading Entities, Eni, Vitol, Strabag SE, Masdar (Masdar Solar & Wind Cooperatief U.A.), Eiser Infrastructure Limited, RREEF Infrastructure (RREEF Infrastructure G.P. Limited), Antin Infrastructure Services, Veolia Propreté SAS, Alpene Ltd. (gemini)","Glencore International A.G. v. Republic of Colombia, dispute over the bulk purchase of physical hydrocarbon products by a Chinese entity, dispute between two major Saudi Arabian companies involving cross-border logistics, as price review dispute involving physical gas supply and off-take agreements across Asia (perplexity)",Independent arbitrator: Judith Gill KC (https://www.judithgill.com/#answers-section),enquiries@judithgill.com,n/a,,,"She has experience in various commercial arbitration areas, including joint ventures, corporate sales, construction, energy contracts, and investment treaty disputes. https://www.judithgill.com/#answers-section",Mona,,,,
PK Wong & Nair LLC,Singapore Local,"6 Battery Road, #09-03, Singapore 049909 (https://pkw.com.sg/)",MD: Mark Wong (https://pkw.com.sg/directors/),"Arbitration, Banking, Construction, Corporate & Commercial, Digital, Technology and Data Privacy, Employment & Immigration Law, Estate Planning & Trusts, Intellectual Property, Litigation, Real Estate & Conveyancing, Restructuring & Insolvency (pkw.com.sg)","Antanium Resources, Maybank Singapore, Noble Group Ltd, CV Shipping/PDV Marina SA, Petrochina International (Singapore) Pte Ltd, PDVSA (Petroleos de Venezuela), CIMB Bank Berhad, World Fuel Services (Singapore) Pte Ltd, Equiptest Engineering Pte Ltd (EQT), Cohu Inc, Team Metal (S) Pte Ltd (perplexity)","PDV Marina Wind-Up (CV Shipping Liquidation), Goldilocks Investment Co Ltd v Noble Group Ltd 5 SLR 425 (perplexity)",n/a,sg office: info@pkw.com.sg (https://pkw.com.sg/contact-us/),sg office: +65 6831 8800 (https://pkw.com.sg/contact-us/),,,https://pkw.com.sg/,Mona,,,,
Providence Law Asia LLC,Singapore Local,"One Raffles Place, Tower 2, #29-62, Singapore 048616 (https://www.providencelawasia.com/)","MD: Abraham Vergis, S.C. (https://www.providencelawasia.com/our-people/)","International Arbitration, Corporate & Commercial Litigation, Restructuring & Insolvency, Construction, Infrastructure & Energy, Fraud & Asset Recovery, Investigations and Regulatory Affairs, SICC Expertise, Technology Disputes, Private Client Practice (gemini)","Telekom Malaysia, PricewaterhouseCoopers, GTP Advisory, Liberty House Group, GP Global Group, Zenrock Commodities Trading, Peking University Founder Group, Submarine Cable Logistics, PDV Marina (Venezuela), Agritrade Resources Limited, Thaicom,  Ventureast (gemini, https://www.providencelawasia.com)","Re Hin Leong Trading (Pte) Ltd [2025] / [2026], Re GP Global APAC Pte Ltd [2024] / [2025], HSBC v Zenrock Commodities Trading Pte Ltd, Alphard Maritime Ltd v Samson Maritime Ltd and Underwater Services Company Limited [2025] SGHC 154 (gemini)",n/a,sg office: info@providencelawasia.com (providencelawasia.com),sg office: +65 6438 1969 (providencelawasia.com),,,https://www.providencelawasia.com/,Mona,,,,
LVM Law Chambers LLC,Singapore Local,"160 Robinson Road, #13-02 SBF Center, Singapore 068914 (https://www.lvmlawchambers.com/contact/)","MD: Lok Vi Ming, S.C.; Joint MD: Joseph Lee (https://www.lvmlawchambers.com/practice/international-trade-shipping-and-sanctions/)",dispute resolution (chambers),"MS First Capital Insurance, Brazen Sky, United Overseas Bank, Golden Base Energy Pte Ltd, Unipec Singapore Pte Ltd, Hin Leong Trading (Pte.) Ltd, Ocean Tankers (Pte.) Ltd (Affiliated Matters), GrabTaxi Holdings Pte Ltd, Ochroid Trading Ltd, Laud Architects Pte Ltd, CKR Contract Services Pte Ltd, Lendlease Singapore Pte Ltd (gemini)","The “Maersk Katalin” [2024] SGHC 282, CYE v CYF [2023] SGHC 275 (lvmlawchambers.com)",n/a,sg office: contact@lvmlawchambers.com (https://www.lvmlawchambers.com/contact/),sg office: +65 6206 7888 (https://www.lvmlawchambers.com/contact/),,,https://www.lvmlawchambers.com/,Mona,,,,
Incisive Law LLC,Singapore Local,"120 Robinson Road #08-01, Singapore 068913 (incisivelaw.com)","MD: Loh Wai Yue, Deputy MD: Davis Tan (https://incisivelaw.com/our-people/)","shipping, international trade, international arbitration, commercial litigation, insurance, criminal law, corporate, shp finance & escrow services (incisivelaw.com)","Teras Lyza Pte Ltd / Teras Offshore Pte Ltd (Ezion Holdings group), MISC Berhad (Malaysia International Shipping Corporation), ArgoGlobal Underwriting Asia Pacific Pte Ltd, Scandinavian Bunkering AS, China National Petroleum Corporation (CNPC) / PetroChina Subsidiaries, Oversea-Chinese Banking Corporation (OCBC), SBM Offshore Group (gemini)","Argoglobal Underwriting Asia Pacific Pte Ltd and others v Oversea-Chinese Banking Corporation Limited SGCA 14, The “Sea Justice” SGCA 32, The “Tina I” 3 SLR 121 (perplexity)",n/a,sg office: enquiries@incisivelaw.com (incisivelaw.com),sg office: (65) 6505 0160 (incisivelaw.com),,,https://incisivelaw.com/,Mona,,,,
Damodara Ong LLC,Singapore Local,"30 Cecil St, #11-01 Prudential Tower, Singapore 049712 (https://www.damodaraong.com/#!/contact)",MD: Suresh Damodara (https://www.damodaraong.com/#!/contact),"Dispute resolution, corporate, family and private wealth, criminal law (perplexity)",Ocean Tankers (Pte.) Ltd (perplexity),n/a,n/a,n/a,sg office: (65) 6227 6366 (https://www.damodaraong.com/#!/contact),,,https://www.damodaraong.com/,Mona,,,,
Focus Law Asia LLC,Singapore Local,"16 Raffles Quay #21-01, Hong Leong Building, Singapore 048581 (https://www.focuslawasia.com/contact-us)",MD: Shem Khoo (https://www.focuslawasia.com/our-lawyers),"Commercial Litigation, International Arbitration, Shipping & Commodities, Building & Construction, Restructuring & Insolvency, Family & Private Clients, Employment Law, Corporate Advice, Fintech & Cryptocurrency, Business Formation (https://www.focuslawasia.com/)","Maersk Tankers Singapore, Hin Leong Trading (Pte.) Ltd (perplexity)","Advising  the liquidators of Hin Leong Trading (Pte.) Ltd,  [2022] SGHC 242, [2021] SGHC 286, [2024] SGHC 63,  [2025] SGCA 33 (https://www.focuslawasia.com/our-people/shem-khoo)",n/a,sg office: office@focuslawasia.com (https://www.focuslawasia.com/contact-us),sg office: +65 6950 0840 (https://www.focuslawasia.com/contact-us),,,https://www.focuslawasia.com/,Mona,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Weekly target = 10 (mona:5, lang: 5)",,,,,,,,,,,,,,,,,
